noun,support,len,variation,is_human_related
sicilianas,siciliano,10,4,True
escutador,escutador,9,4,True
selector,selector,8,4,True
ateus,ateu,5,4,True
equatoriana,equatoriano,11,4,True
equatorianas,equatoriano,12,4,True
equatoriano,equatoriano,11,4,True
equatorianos,equatoriano,12,4,True
ganhadores,ganhador,10,4,True
fenicios,fenicio,8,4,True
fenicio,fenicio,7,4,True
ganhadoras,ganhador,10,4,True
fenicias,fenicio,8,4,True
fenicia,fenicio,7,4,True
ganhadora,ganhador,9,4,True
ururuguaios,ururuguaio,11,4,True
ururuguaio,ururuguaio,10,4,True
ururuguaias,ururuguaio,11,4,True
ururuguaia,ururuguaio,10,4,True
ganhador,ganhador,8,4,True
uruguaios,uruguaio,9,4,True
uruguaias,uruguaio,9,4,True
uruguaia,uruguaio,8,4,True
uruguaio,uruguaio,8,4,True
feitureiros,feitureiro,11,4,True
feitureiro,feitureiro,10,4,True
feitureiras,feitureiro,11,4,True
feitureira,feitureiro,10,4,True
ajustador,ajustador,9,4,True
ajustadora,ajustador,10,4,True
ajustadoras,ajustador,11,4,True
ajustadores,ajustador,11,4,True
alabardeira,alabardeiro,11,4,True
alabardeiras,alabardeiro,12,4,True
alabardeiro,alabardeiro,11,4,True
alabardeiros,alabardeiro,12,4,True
utilizadores,utilizador,12,4,True
utilizadoras,utilizador,12,4,True
utilizadora,utilizador,11,4,True
utilizador,utilizador,10,4,True
utilitarios,utilitario,11,4,True
utilitario,utilitario,10,4,True
utilitarias,utilitario,11,4,True
utilitaria,utilitario,10,4,True
usurarios,usurario,9,4,True
usurario,usurario,8,4,True
usurarias,usurario,9,4,True
usuraria,usurario,8,4,True
usurpadores,usurpador,11,4,True
usurpadoras,usurpador,11,4,True
usurpadora,usurpador,10,4,True
usurpador,usurpador,9,4,True
usuarios,usuario,8,4,True
usuario,usuario,7,4,True
usuarias,usuario,8,4,True
usuaria,usuario,7,4,True
ultores,ultor,7,4,True
ultoras,ultor,7,4,True
ultora,ultor,6,4,True
ultor,ultor,5,4,True
albina,albino,6,4,True
albinas,albino,7,4,True
albino,albino,6,4,True
ultramontanos,ultramontano,13,4,True
ultramontano,ultramontano,12,4,True
ultramontanas,ultramontano,13,4,True
ultramontana,ultramontano,12,4,True
albinos,albino,7,4,True
fazedoras,fazedor,9,4,True
fazedora,fazedor,8,4,True
fazedor,fazedor,7,4,True
fazedores,fazedor,9,4,True
augures,augure,7,4,True
augure,augure,6,4,True
auguratrizes,augure,12,4,True
auguratriz,augure,10,4,True
fazendeiros,fazendeiro,11,4,True
fazendeiro,fazendeiro,10,4,True
fazendeiras,fazendeiro,11,4,True
fazendeira,fazendeiro,10,4,True
feiticeiros,feiticeiro,11,4,True
feiticeiro,feiticeiro,10,4,True
feiticeiras,feiticeiro,11,4,True
